Time,header.seq,header.frame_id,child_frame_id,pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
52.69,2613,odom,base_link,0.0032860916842981595,-6.316779656171216e-08,0.0,0.0,0.0,-9.83772355043101e-06,0.9999999999516096,6.770858165842437e-05,0.0,0.0
52.71,2614,odom,base_link,0.003287445926174479,-6.319444190175684e-08,0.0,0.0,0.0,-9.837742486204727e-06,0.9999999999516094,6.771326457953255e-05,0.0,0.0
52.73,2615,odom,base_link,0.0032888002617140304,-6.322108913597505e-08,0.0,0.0,0.0,-9.837761433063232e-06,0.9999999999516093,6.771794782052374e-05,0.0,0.0
52.75,2616,odom,base_link,0.003290154690923341,-6.32477382645322e-08,0.0,0.0,0.0,-9.837780390929937e-06,0.999999999951609,6.772263139011493e-05,0.0,0.0
52.77,2617,odom,base_link,0.003291509213808788,-6.327438928759058e-08,0.0,0.0,0.0,-9.837799359766346e-06,0.9999999999516088,6.772731527737735e-05,0.0,0.0
52.79,2618,odom,base_link,0.003292863830376897,-6.330104220531562e-08,0.0,0.0,0.0,-9.837818339648675e-06,0.9999999999516087,6.773199949104968e-05,0.0,0.0
52.81,2619,odom,base_link,0.0032942185406341327,-6.332769701787154e-08,0.0,0.0,0.0,-9.837837330539585e-06,0.9999999999516085,6.773668402898519e-05,0.0,0.0
52.83,2620,odom,base_link,0.0032955733445869137,-6.335435372542163e-08,0.0,0.0,0.0,-9.83785633247641e-06,0.9999999999516083,6.774136888676034e-05,0.0,0.0
52.85,2621,odom,base_link,0.0032969282422417472,-6.338101232813099e-08,0.0,0.0,0.0,-9.837875345498796e-06,0.9999999999516082,6.77460540709454e-05,0.0,0.0
52.87,2622,odom,base_link,0.003298283233605138,-6.340767282616462e-08,0.0,0.0,0.0,-9.83789436949051e-06,0.9999999999516079,6.775073957722525e-05,0.0,0.0
52.89,2623,odom,base_link,0.0032996383186835077,-6.343433521968581e-08,0.0,0.0,0.0,-9.837913404567008e-06,0.9999999999516077,6.775542540987163e-05,0.0,0.0
52.91,2624,odom,base_link,0.0033009934974833387,-6.346099950885918e-08,0.0,0.0,0.0,-9.837932450651708e-06,0.9999999999516075,6.776011156240102e-05,0.0,0.0
52.93,2625,odom,base_link,0.003302348770011094,-6.348766569384903e-08,0.0,0.0,0.0,-9.837951507783091e-06,0.9999999999516074,6.77647980391719e-05,0.0,0.0
52.95,2626,odom,base_link,0.0033037041362732594,-6.351433377481988e-08,0.0,0.0,0.0,-9.837970575883795e-06,0.9999999999516072,6.776948484016261e-05,0.0,0.0
52.97,2627,odom,base_link,0.003305059596276298,-6.354100375193595e-08,0.0,0.0,0.0,-9.837989655069677e-06,0.9999999999516069,6.777417196320474e-05,0.0,0.0
52.99,2628,odom,base_link,0.0033064151500266925,-6.356767562536195e-08,0.0,0.0,0.0,-9.83800874526337e-06,0.9999999999516068,6.777885941263508e-05,0.0,0.0
53.01,2629,odom,base_link,0.0033077707975309287,-6.359434939526267e-08,0.0,0.0,0.0,-9.838027846619604e-06,0.9999999999516066,6.778354718632861e-05,0.0,0.0
53.03,2630,odom,base_link,0.003309126538795426,-6.362102506180153e-08,0.0,0.0,0.0,-9.838046958945162e-06,0.9999999999516064,6.778823527988346e-05,0.0,0.0
53.05,2631,odom,base_link,0.003310482373826712,-6.364770262514403e-08,0.0,0.0,0.0,-9.838066082239657e-06,0.9999999999516063,6.779292370201663e-05,0.0,0.0
53.07,2632,odom,base_link,0.0033118383026312296,-6.367438208545403e-08,0.0,0.0,0.0,-9.838085216658201e-06,0.999999999951606,6.779761244622289e-05,0.0,0.0
53.09,2633,odom,base_link,0.0033131943252154824,-6.37010634428966e-08,0.0,0.0,0.0,-9.838104362084944e-06,0.9999999999516058,6.780230151245888e-05,0.0,0.0
53.11,2634,odom,base_link,0.0033145504415858914,-6.372774669763516e-08,0.0,0.0,0.0,-9.838123518557981e-06,0.9999999999516057,6.780699090074628e-05,0.0,0.0
53.13,2635,odom,base_link,0.0033159066517489846,-6.375443184983527e-08,0.0,0.0,0.0,-9.83814268607771e-06,0.9999999999516055,6.781168061546528e-05,0.0,0.0
53.15,2636,odom,base_link,0.0033172629557112238,-6.378111889966115e-08,0.0,0.0,0.0,-9.838161864527893e-06,0.9999999999516053,6.781637065223569e-05,0.0,0.0
53.17,2637,odom,base_link,0.0033186193534790734,-6.380780784727712e-08,0.0,0.0,0.0,-9.838181054102122e-06,0.999999999951605,6.782106101322591e-05,0.0,0.0
53.19,2638,odom,base_link,0.00331997584505906,-6.383449869284883e-08,0.0,0.0,0.0,-9.838200254722648e-06,0.9999999999516049,6.782575170281613e-05,0.0,0.0
53.21,2639,odom,base_link,0.003321332430457581,-6.386119143653932e-08,0.0,0.0,0.0,-9.838219466389863e-06,0.9999999999516047,6.783044271224599e-05,0.0,0.0
53.23,2640,odom,base_link,0.0033226891096811663,-6.388788607851426e-08,0.0,0.0,0.0,-9.838238689103765e-06,0.9999999999516045,6.783513404589567e-05,0.0,0.0
53.25,2641,odom,base_link,0.0033240458827362984,-6.391458261893842e-08,0.0,0.0,0.0,-9.838257922863966e-06,0.9999999999516044,6.783982570380853e-05,0.0,0.0
53.27,2642,odom,base_link,0.0033254027496294426,-6.394128105797613e-08,0.0,0.0,0.0,-9.838277167632366e-06,0.9999999999516042,6.784451768815299e-05,0.0,0.0
