Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
56.495,0.5,0.0,0.0,0.0,0.0,0.25566364552524345
56.595,0.5,0.0,0.0,0.0,0.0,0.25670265096783496
56.694,0.5,0.0,0.0,0.0,0.0,0.24612153200243816
56.794,0.5,0.0,0.0,0.0,0.0,0.23084401567415494
56.895,0.5,0.0,0.0,0.0,0.0,0.2175840474720842
56.994,0.5,0.0,0.0,0.0,0.0,0.20561997307468377
57.094,0.5,0.0,0.0,0.0,0.0,0.1924725957641073
57.194,0.49999999999999994,0.0,0.0,0.0,0.0,0.18010426889864986
57.295,0.5,0.0,0.0,0.0,0.0,0.1686358116915852
57.394,0.5,0.0,0.0,0.0,0.0,0.16072344352907328
57.494,0.49999999999999994,0.0,0.0,0.0,0.0,0.15520616216111877
57.594,0.5,0.0,0.0,0.0,0.0,0.1526304036760957
57.694,0.49999999999999994,0.0,0.0,0.0,0.0,0.15011297269768512
57.794,0.49999999999999994,0.0,0.0,0.0,0.0,0.1405317125770785
57.894,0.49999999999999994,0.0,0.0,0.0,0.0,0.13191318508565175
57.994,0.5,0.0,0.0,0.0,0.0,0.130133655863941
58.095,0.5,0.0,0.0,0.0,0.0,0.12829756481521967
58.194,0.5,0.0,0.0,0.0,0.0,0.12460104054290058
58.294,0.5,0.0,0.0,0.0,0.0,0.12548487857652285
58.394,0.5,0.0,0.0,0.0,0.0,0.12018215025472323
58.494,0.49999999999999994,0.0,0.0,0.0,0.0,0.11299048938703568
58.595,0.04753021973445057,0.0,0.0,0.0,0.0,-0.08052044485680997
58.694,0.1956234270081344,0.0,0.0,0.0,0.0,-0.08000059664765262
58.795,0.1948402887171314,0.0,0.0,0.0,0.0,-0.07398852785306768
58.895,0.19381604240938652,0.0,0.0,0.0,0.0,-0.06730719670851897
58.994,0.19322801107597734,0.0,0.0,0.0,0.0,-0.05671578952329451
59.095,0.19278426164103027,0.0,0.0,0.0,0.0,-0.05093895231942565
59.195,0.19244018785779196,0.0,0.0,0.0,0.0,-0.047314149108196396
59.295,0.19221607460231596,0.0,0.0,0.0,0.0,-0.0449136477153554
59.395,0.19192463093484416,0.0,0.0,0.0,0.0,-0.04195625137044763
59.494,0.19166075558702192,0.0,0.0,0.0,0.0,-0.04035552336339007
